iter	Passed	Remaining
0	153	153380
1	154	77129
2	155	51628
3	156	38910
4	157	31259
5	157	26157
6	158	22504
7	159	19770
8	160	17635
9	160	15936
10	161	14543
11	162	13386
12	163	12405
13	164	11565
14	165	10841
15	165	10201
16	166	9641
17	167	9140
18	168	8696
19	169	8292
20	170	7930
21	170	7596
22	171	7290
23	172	7009
24	173	6752
25	174	6518
26	174	6296
27	175	6092
28	176	5900
29	176	5720
30	177	5554
31	178	5398
32	179	5253
33	180	5114
34	180	4986
35	181	4862
36	182	4746
37	183	4636
38	183	4531
39	184	4435
40	185	4341
41	186	4252
42	187	4167
43	187	4084
44	188	4007
45	189	3931
46	190	3859
47	191	3790
48	191	3724
49	192	3659
50	193	3600
51	194	3541
52	195	3492
53	196	3438
54	197	3385
55	197	3335
56	198	3288
57	199	3241
58	200	3196
59	201	3151
60	202	3109
61	202	3068
62	203	3027
63	204	2988
64	205	2949
65	205	2912
66	206	2876
67	206	2836
68	207	2802
69	208	2770
70	209	2739
71	210	2709
72	210	2679
73	211	2650
74	212	2621
75	213	2593
76	214	2565
77	214	2539
78	215	2512
79	216	2487
80	217	2463
81	217	2439
82	218	2416
83	219	2393
84	220	2368
85	220	2347
86	221	2323
87	222	2302
88	223	2282
89	224	2268
90	225	2249
91	226	2230
92	226	2211
93	227	2194
94	228	2176
95	229	2159
96	230	2142
97	230	2125
98	231	2108
99	232	2092
100	233	2075
101	233	2056
102	234	2041
103	235	2026
104	236	2011
105	236	1997
106	237	1985
107	238	1972
108	239	1958
109	240	1944
110	241	1932
111	242	1918
112	242	1907
113	243	1894
114	244	1883
115	245	1870
116	246	1858
117	247	1847
118	247	1834
119	248	1823
120	249	1811
121	250	1800
122	250	1787
123	252	1782
124	252	1770
125	253	1759
126	254	1749
127	255	1737
128	255	1727
129	256	1717
130	257	1707
131	258	1696
132	258	1687
133	259	1678
134	260	1668
135	261	1659
136	262	1650
137	262	1640
138	263	1632
139	264	1623
140	265	1617
141	266	1610
142	267	1601
143	267	1592
144	268	1584
145	269	1575
146	270	1567
147	270	1558
148	271	1550
149	272	1541
150	272	1533
151	273	1525
152	274	1517
153	274	1509
154	275	1501
155	276	1493
156	276	1486
157	277	1478
158	278	1471
159	278	1463
160	279	1456
161	280	1449
162	280	1442
163	281	1436
164	282	1429
165	283	1423
166	283	1416
167	284	1409
168	285	1403
169	286	1397
170	286	1390
171	287	1384
172	288	1378
173	289	1372
174	289	1366
175	290	1360
176	291	1354
177	292	1348
178	292	1342
179	293	1337
180	293	1330
181	294	1324
182	295	1319
183	296	1313
184	297	1308
185	297	1303
186	298	1298
187	299	1292
188	300	1287
189	300	1282
190	301	1276
191	302	1271
192	302	1265
193	303	1260
194	304	1255
195	304	1250
196	305	1245
197	306	1240
198	307	1235
199	307	1230
200	308	1226
201	309	1221
202	309	1216
203	310	1212
204	311	1207
205	312	1203
206	312	1198
207	313	1194
208	314	1189
209	315	1185
210	315	1181
211	316	1176
212	317	1172
213	318	1168
214	318	1164
215	319	1159
216	320	1155
217	321	1151
218	321	1147
219	322	1143
220	323	1139
221	323	1135
222	324	1131
223	325	1127
224	326	1123
225	326	1119
226	327	1115
227	328	1111
228	329	1108
229	329	1104
230	330	1100
231	331	1096
232	332	1093
233	332	1089
234	333	1085
235	334	1082
236	335	1078
237	335	1075
238	336	1071
239	337	1068
240	338	1064
241	338	1061
242	339	1057
243	340	1054
244	340	1050
245	341	1047
246	342	1043
247	342	1039
248	343	1036
249	344	1032
250	344	1029
251	345	1025
252	346	1022
253	346	1019
254	347	1015
255	348	1012
256	348	1008
257	349	1005
258	350	1002
259	351	999
260	351	996
261	352	993
262	353	990
263	354	987
264	354	983
265	355	980
266	356	977
267	356	974
268	357	971
269	358	968
270	358	965
271	359	962
272	360	958
273	360	955
274	361	952
275	362	949
276	362	947
277	363	944
278	364	941
279	364	938
280	365	935
281	366	932
282	367	929
283	367	927
284	368	924
285	369	921
286	369	918
287	370	915
288	371	912
289	371	910
290	372	907
291	373	904
292	373	901
293	374	899
294	375	896
295	375	894
296	376	891
297	377	888
298	378	886
299	378	883
300	379	881
301	380	878
302	381	876
303	381	874
304	382	871
305	383	869
306	383	866
307	384	864
308	385	861
309	386	859
310	386	857
311	387	854
312	388	852
313	389	850
314	389	847
315	390	845
316	391	843
317	392	840
318	392	838
319	393	836
320	394	833
321	394	831
322	395	829
323	396	826
324	397	824
325	397	822
326	398	820
327	399	817
